city,pop_2018_est,place
Day Valley,3439,18153
Del Rio,1235,18695
Empire,3667,22622
Three Rivers,2397,78638
West Modesto,5911,84578
Dinuba,23871,19318
Lemon Cove,267,41110
Traver,740,80280
Woodlake,7636,86300
American Canyon,20306,01640
Folsom,77007,24638
Sacramento,495011,64000
Walnut Grove,1300,83374
Avery,559,03316
Valley Springs,3428,81890
Torrance,146392,80000
San Andreas,3085,64420
London,1854,42566
Felton,3810,23826
Twin Lakes,5642,81050
Bret Harte,5319,08172
Modesto,211336,48354
Salida,14658,64210
Turlock,72335,80812
Westley,838,84480
Rio Linda,15460,60942
Hickman,566,33504
Hughson,7370,34904
Cutler,5774,17708
Goshen,3316,30476
Springville,872,73710
Kings Beach,2833,38548
Lincoln,46939,41474
North Auburn,13707,51637
Bluewater,161,07172
Rialto,102873,60466
Wrightwood,4283,86594
Orcutt,30493,54120
Santa Ynez,4401,70182
Carmichael,64785,11390
Florin,49132,24498
Vineyard,28315,82852
Potter Valley,437,58506
Princeton,297,58758
Proberta,165,58814
Rackerby,189,59115
Red Corral,1930,59896
Redcrest,23,59906
Watsonville,53616,83668
Earlimart,8790,20438
East Orosi,955,20942
Redwood Valley,1376,60214
Reliez Valley,3575,60279
Richfield,272,60592
Richvale,99,60662
Rio Oso,406,60970
Ripley,408,61012
River Pines,607,61124
Robbins,321,62168
Robinson Mill,35,62200
Rodriguez Camp,87,62496
Rolling Hills,896,62625
Rose Hills,2612,62860
Rough and Ready,828,63106
Rouse,2420,63168
Ruth,145,63386
Rutherford,72,63400
Salmon Creek,20,64252
Samoa,284,64392
San Miguel (Contra Costa County),2993,68263
San Miguel (San Luis Obispo County),2807,68266
San Pasqual,1932,68308
San Simeon,583,68434
Santa Margarita,1252,69182
Santa Nella,2508,70028
Santa Rosa Valley,3180,70130
Santa Susana,1050,70140
Saranap,6492,70266
Saticoy,1201,70322
Bodega,473,07246
Bonny Doon,3009,07470
Bridgeport,464,08240
Brookdale,2345,08478
Brooktrails,3709,08530
Buckhorn,2246,08680
Boulevard,445,07694
Buck Meadows,51,08716
Buena Vista,526,08828
Burnt Ranch,338,09150
Butte Creek Canyon,931,09310
Butte Meadows,53,09318
Butte Valley,510,09324
California Hot Springs,36,09822
California Pines,488,09834
Callender,1583,09948
Calpella,562,09990
Calpine,216,10004
Camanche North Shore,1029,10042
Camanche Village,620,10044
Camino,1799,10270
Camino Tassajara,3798,10301
Camp Nelson,0,10494
Campo,3482,10508
Camptonville,162,10676
Canby,497,10732
Carmet,0,11376
Pixley,3796,57512
Terra Bella,3304,78288
Tulare,62838,80644
Arbuckle,3636,02420
Lenwood,3884,41194
Montclair,38865,48788
Mountain View Acres,4260,49684
San Antonio Heights,3034,64462
Twentynine Palms,26109,80994
Lompoc,43511,42524
Solvang,5734,72576
Vandenberg Village,7861,82086
Foothill Farms,33749,24722
North Highlands,48968,51924
La Crescenta-Montrose,19500,39045
Rancho Murieta,5603,59506
El Segundo,16850,22412
Irwindale,1405,36826
Lomita,20628,42468
Long Beach,468883,43000
Pasadena,141246,56000
Pomona,152494,58072
South San Jose Hills,20593,73290
Val Verde,2996,81967
Walnut,30008,83332
West Carson,22537,84144
West Whittier-Los Nietos,27144,84921
Copperopolis,4299,16210
Murphys,2100,50034
Napa,79516,50258
St. Helena,6079,64140
Colton,54415,14890
Loma Linda,24078,42370
Mentone,9847,46884
Muscoy,13726,50132
Summerland,923,75714
Vandenberg AFB,3379,82072
Dixon Lane-Meadow Creek,2760,19406
Shoshone,13,71680
Belden,0,04856
Bucks Lake,15,08744
Lake San Marcos,4890,39724
Carmel Valley Village,4293,11324
Mount Hebron,78,49768
Mount Shasta,3284,49852
Chualar,1442,13364
Monterey,28512,48872
Soledad,25597,72520
Camp Pendleton South,11459,10561
Coronado,23620,16378
Encinitas,62713,22678
Escondido,151115,22804
Wildomar,36162,85446
Menifee,88515,46842
Dublin,59172,20018
Emeryville,11724,22594
Costa Mesa,113198,16532
Orange,139873,53980
Alondra Park,8097,01150
Altadena,45146,01290
Claremont,36025,13756
El Monte,115669,22230
Glendora,51773,30014
Huntington Park,58694,36056
Carnelian Bay,463,11418
Casmalia,111,11754
Caspar,812,11768
Castaic,18921,11796
Castle Hill,1145,11915
Catheys Valley,794,12062
Cazadero,288,12146
Cedar Ridge,1037,12300
Cedar Slope,0,12314
Alto,765,01416
Anchor Bay,314,02028
Anza,3151,02294
Auburn Lake Trails,3499,03205
Ballard,473,03694
Artois,292,02910
Aspen Springs,67,03026
Baker,607,03512
Ballico,401,03708
Bangor,372,03792
Bass Lake,500,04198
Bayview (Contra Costa County),1954,04470
Bayview (Humboldt County),2617,04478
Bear Creek,157,04632
Bell Canyon,2391,04938
Benbow,161,05262
Bend,457,05276
Benton,313,05346
Berry Creek,1241,06070
Bieber,178,06336
Bear Valley (Alpine County),58,04716
Colma,1450,14736
Emerald Lake Hills,4594,22587
Blythe,19581,07218
La Habra Heights,5383,39304
Lakewood,80771,39892
Malibu,12846,45246
Rancho Palos Verdes,42271,59514
Soquel,10862,72688
East Oakdale,3344,20907
Mountain Ranch,1306,49628
Crestline,9381,17162
Grand Terrace,12482,30658
Hesperia,93609,33434
Lake Arrowhead,9765,39444
Yucaipa,53264,87042
Isla Vista,27690,36868
Mission Hills,3796,48186
Rosemont,23617,62910
Hamilton City,2224,31890
Big Bear City,13312,06406
Montague,1517,48690
Cottonwood,3289,16630
Shingletown,2272,71568
August,8774,03209
Escalon,7509,22790
Ridgemark,3062,60706
Cantua Creek,273,10816
Sebastopol,7666,70770
Lemoore Station,7063,41166
Parlier,15120,55856
Willowbrook,22402,85614
Hidden Valley Lake,6044,33549
Lancaster,159662,40130
Rowland Heights,50602,63218
Mi-Wuk Village,1133,48298
Carpinteria,13550,11446
North San Juan,328,52246
North Shore,2892,52302
Nubieber,20,52610
Oak Glen,420,52715
Oak Hills,9700,52760
Oak Shores,282,53160
Oakville,188,53196
Oasis,3020,53224
Old Fig Garden,5529,53505
Old Station,35,53602
Orick,296,54218
Pajaro Dunes,255,55048
Delhi,11735,18464
Dos Palos,5272,19612
Hanford,55893,31960
San Juan Bautista,2106,68014
Monte Rio,1156,48928
Sonoma,11074,72646
Windsor,27506,85922
Soulsbyville,2286,72772
Burney,3807,09122
McArthur,386,44700
Temple City,36137,78148
Vernon,90,82422
View Park-Windsor Hills,11580,82667
West Athens,8574,84116
Angwin,3424,02168
Calistoga,5285,09892
Columbia,2217,14904
Jamestown,2687,37106
Tuolumne City,1577,80763
Millville,682,47724
Round Mountain,112,63134
Acampo,294,00156
Acalanes Ridge,889,00135
Adin,201,00310
Agua Dulce,3728,00450
Aguanga,835,00464
Ahwahnee,2461,00478
Airport,1222,00535
Alhambra Valley,739,00898
Antelope,47326,02210
Albion,302,00716
Alderpoint,157,00786
Alleghany,30,00982
Allendale,1362,00996
Allensworth,527,01010
Alta,485,01276
Biggs,2323,06560
Oroville,19040,54386
Palermo,5544,55086
South Oroville,3181,73178
Thermalito,6704,78470
Borrego Springs,2252,07596
Bostonia,17530,07624
Del Mar,4340,18506
El Cajon,103285,21712
Castroville,6686,11978
Lake Los Angeles,11469,39612
Del Rey Oaks,1596,18688
Elkhorn,1151,22034
Sand City,318,65112
Benicia,28088,05290
Dixon,19759,19402
Arroyo Grande,18039,02868
Atascadero,30037,03064
Oceano,7678,53294
Shandon,1141,71134
Lathrop,21393,40704
El Granada,5819,21936
San Mateo,104035,68252
South Taft,1526,73388
Boron,2312,07568
Eureka,27020,23042
Isleton,583,36882
Ladera Heights,7090,39108
Westmont,33723,84592
Fair Oaks,31002,23294
Bakersfield,375699,03526
Corona,165355,16350
Woodcrest,17310,86244
Mammoth Lakes,8091,45358
Cabazon,3367,09360
French Camp,3857,26028
Clearlake Oaks,2279,13966
Canyon Lake,11106,10928
Winters,7132,86034
Deer Park,906,18324
Tara Hills,5405,77924
Mill Valley,14343,47710
Le Grand,1726,41040
Brentwood,60446,08142
Pleasant Hill,34785,57764
Roseville,133049,62938
Williams,5223,85586
Loyalton,1149,44364
Sunnyside-Tahoe City,1222,76015
East Richmond Heights,3214,21061
Chino,87735,13210
Salton Sea Beach,355,64308
Carrick,47,11481
Rainbow,1994,59248
Victorville,121861,82590
Keeler,15,37918
Blairsden,25,06994
Point Arena,418,57876
Crest,2746,17106
Rancho San Diego,21289,59550
San Diego Country Estates,10381,66004
Anaheim,349668,02000
Fullerton,139866,28000
Brea,42330,08100
Cypress,48955,17750
Dana Point,33913,17946
Huntington Beach,200606,36000
Rossmoor,11160,63050
Fillmore,15598,24092
El Rio,6505,22370
Vallecito,183,81652
San Bernardino,215182,65000
Orland,7541,54274
Running Springs,4296,63316
Delleker,514,18485
Hacienda Heights,54970,31596
Lakeside,22560,39766
National City,60896,50398
Rancho Santa Fe,2591,59584
San Marcos,94709,68196
Bodega Bay,733,07260
Boyes Hot Springs,7863,07848
Santa Rosa,181038,70098
Temelec,1564,78126
Fountain Valley,56372,25380
Avenal,12923,03302
Kettleman City,1395,38394
Irvine,265502,36770
Los Alamitos,11628,43224
Newark,46276,50916
Easton,2206,20928
Kerman,14649,38226
Sonora,4822,72674
Twain Harte,2523,80966
Redway,1199,60088
Rio Dell,3382,60900
Sattley,77,70336
Scotia,602,70518
Seacliff,3201,70644
Sea Ranch,1161,70712
Sequoia Crest,28,70966
Sereno del Mar,82,71000
Seville,691,71078
Shasta,1804,71218
Shell Ridge,1281,71362
Shelter Cove,501,71372
Sheridan,1250,71414
Hercules,25343,33308
Oakley,40669,53070
Rodeo,10411,62490
Coalinga,16538,14274
Fresno,522277,27000
West Sacramento,52826,84816
Interlaken,7191,36613
Live Oak,17390,41922
Rio del Mar,9775,60928
Nipomo,17445,51476
Oceanside,175389,53322
Markleeville,143,45988
Morro Bay,10592,49362
Fort Jones,832,25128
Valinda,25296,81638
La Mirada,48974,40032
La Verne,32358,40830
Lawndale,33007,40886
Littlerock,1766,41880
Marina del Rey,9771,45806
San Dimas,34239,66070
San Gabriel,40242,67042
Alameda,78462,00562
Albany,19758,00674
Lynwood,71022,44574
Fairview,10299,23350
San Lorenzo,25388,68112
Wofford Heights,1973,86174
East Hemet,20679,20697
Homeland,7326,34316
Valle Vista,16879,81708
Bay Point,25165,04415
Crockett,3094,17274
El Cerrito,25203,21796
Pinole,19264,57288
Rollingwood,3110,62700
Ojai,7555,53476
Port Hueneme,22215,58296
Santa Paula,30258,70042
Inverness,1127,36616
Point Reyes Station,290,57960
Lake Almanor West,126,39425
Portola,1912,58352
Storrie,0,75168
Twain,33,80952
Livingston,13997,42006
East Palo Alto,29633,20956
Redwood City,85217,60102
San Bruno,43114,65028
Lafayette,26060,39122
Avalon,3763,03274
Woodland,59044,86328
Acton,7185,00212
Arcadia,58207,02462
Bell,35809,04870
Carson,92517,11530
Compton,97301,15044
Diamond Bar,56434,19192
East San Gabriel,15932,21096
Panorama Heights,42,55506
Alturas,2577,01444
Westwood,1545,84928
Highland,54859,33588
Joshua Tree,6980,37554
Morongo Valley,3262,49348
Ontario,173580,53896
Yucca Valley,21543,87056
Los Alamos,1623,43252
Mission Canyon,2755,48147
Hemet,84069,33182
Indian Wells,5317,36434
Perris,76276,56700
Bystrom,4099,09353
Waterford,8823,83612
East Porterville,6679,21012
Ivanhoe,4198,36910
San Juan Capistrano,35952,68028
Tipton,3218,78750
Woodville,1852,86482
Rancho Santa Margarita,48792,59587
Olivehurst,13309,53714
Big Bear Lake,5229,06434
Gerber,1259,29392
Geyserville,928,29420
Gold Mountain,0,30339
Good Hope,9173,30410
Goodyears Bar,29,30420
Grangeville,586,30686
Graniteville,0,30714
Greeley Hill,687,30900
Westminster,91417,84550
Marysville,12282,46170
Tahoe Vista,1288,77700
Moss Beach,3799,49446
Inyokern,740,36658
Burlingame,30459,09066
San Carlos,30080,65070
South San Francisco,67294,73262
Edwards AFB,2571,21600
Frazier Park,2570,25534
McKittrick,127,44924
Squirrel Mountain Valley,1159,73815
Weedpatch,2238,83863
Mira Monte,6912,48046
Oxnard,207568,54652
Black Point-Green Point,1655,06982
Lucas Valley-Marinwood,6841,44399
Ross,2309,62980
San Geronimo,466,67070
Tamalpais-Homestead Valley,11261,77805
Woodacre,1303,86216
Grass Valley,12932,30798
Penn Valley,1424,56518
Greenville,1108,31162
Lake Almanor Peninsula,416,39420
Taylorsville,244,78008
Tobin,0,78792
Planada,4418,57582
Winton,11761,86076
Broadmoor,5286,08338
Moraga,17398,49187
Foster City,33784,25338
Highlands-Baywood Park,4564,33633
Hillsborough,11439,33798
North Fair Oaks,14547,51840
Johannesburg,138,37400
Mojave,4230,48452
Oildale,34723,53448
Rosedale,16737,62854
Coachella,44849,14260
Linden,1790,41670
Cherry Valley,7755,12916
Lakeland Village,13170,39598
Lakeview,2566,39836
Mecca,7174,46660
Moreno Valley,205034,49270
Nuevo,7033,52624
Wallace,1063,83304
Adelanto,33416,00296
Bloomington,21783,07064
Needles,4962,50734
Paradise,186,55528
Paradise Park,543,55604
Parklawn,1082,55728
Parkway,15885,55800
Pasatiempo,1018,56028
Paskenta,105,56042
Patterson Tract,2351,56120
Patton Village,604,56140
Paynes Creek,53,56196
Penngrove,2961,56476
Penryn,925,56546
Pescadero,226,56756
Peters,604,56798
Phelan,15532,56826
Phillipsville,72,56854
Philo,201,56868
Phoenix Lake,4283,56870
Pierpoint,0,57011
Pike,167,57036
Pine Canyon,2294,57070
Pine Flat,149,57134
Pine Grove,1730,57148
Pine Mountain Lake,2671,57244
Piñon Hills,7592,57302
Pioneer,1443,57330
Plainview,863,57568
Plumas Lake,7367,57829
Ponderosa,0,58134
Posey,0,58422
Poso Park,2,58436
Potrero,625,58478
Aliso Viejo,50925,00947
Yountville,2982,86930
Goleta,30790,30378
Eastvale,61337,21230
Fairbanks Ranch,2901,23150
Imperial Beach,27290,36294
Poway,49842,58520
Valley Center,9059,81736
Concow,743,16035
Greenfield,17276,30994
Pacific Grove,15567,54848
San Ardo,554,64476
Seaside,34077,70742
Suisun City,29379,75630
Rancho Calaveras,7035,59426
Apple Valley,72359,02364
Barstow,23812,04030
Big River,1145,06635
Winchester,2931,85894
Heber,4686,33084
Salton City,5611,64294
Cartago,7,11600
Furnace Creek,127,28021
Oak Park,13730,53116
San Buenaventura (Ventura),110234,65042
Greenacres,5757,30938
Green Acres,2542,30944
Greenfield,3534,30987
Green Valley (Los Angeles County),973,31092
Green Valley (Solano County),1572,31099
Grimes,358,31288
Grizzly Flats,1087,31302
Groveland,307,31372
Guinda,175,31540
Happy Camp,810,32030
Hardwick,30,32156
Hartland,0,32324
Hartley,2907,32340
Hasley Canyon,1085,32385
Herald,1058,33294
Herlong,1353,33336
Hiouchi,433,33935
Homestead Valley,2723,34392
Homewood Canyon,35,34405
Honcut,135,34428
Hood,303,34484
Hopland,921,34652
Hornitos,61,34708
Hat Creek,164,32408
Hyampom,165,36098
Idlewild,0,36168
Indianola,686,36420
Indio Hills,708,36452
Jacumba,202,37022
Janesville,1278,37134
Tustin,80140,80854
Beale AFB,1039,04576
Ashland,23635,02980
Diablo,364,19150
Alamo,15317,00618
Byron,1348,09346
Richmond,109340,60620
Vine Hill,3887,82842
Hilmar-Irwin,5846,33861
Belmont,27110,05108
Brisbane,4692,08310
Menlo Park,33869,46870
Millbrae,22703,47486
Newman,11119,51140
Riverdale Park,1301,61106
Porterville,59797,58240
Galt,25675,28112
La Riviera,10851,40410
Arnold,2605,02770
Dorrington,205,19570
San Jacinto,47474,67112
Arvin,21005,02924
California City,13646,09780
Derby Acres,380,18926
Yreka,7551,86944
El Paso de Robles (Paso Robles),31656,22300
Moss Landing,61,49488
Belvedere,2098,05164
Fairfax,7591,23168
Cassel,176,11782
Cedarville,360,12328
Centerville,366,12412
Chalfant,999,12594
Cherokee,139,12818
Clay,1083,13854
Clear Creek,226,13910
Cherokee Strip,191,12860
Clarksburg,442,13784
Clearlake Riviera,3933,13985
Yosemite Valley,1110,86912
Port Costa,186,58226
San Pablo,30839,68294
Lake Nacimiento,2884,39670
Etna,735,22972
Live Oak,8622,41936
Sutter,2994,77378
East Foothills,6278,20598
Lexington Hills,2603,41282
Carmel-by-the-Sea,3855,11250
Del Monte Forest,4197,18590
San Lucas,472,68140
Spreckels,385,73612
Fallbrook,33021,23462
Granite Hills,2833,30703
Georgetown,2668,29350
McCloud,1072,44784
Lompico,887,42510
Long Barn,93,42622
Lookout,76,43126
Los Berros,541,44042
Los Olivos,831,44168
Los Osos,16292,44182
Los Ranchos,1730,44242
Lucerne Valley,5423,44420
Lytle Creek,724,44644
Mabie,74,44672
McClellan Park,809,44760
McClenney Tract,41,44770
McGee Creek,0,44830
McSwain,4137,45006
East Whittier,10391,21292
Jurupa Valley,103784,37692
Garden Acres,10701,28182
Lincoln Village,4768,41558
Carlsbad,113670,11194
Chula Vista,266468,13392
Clipper Mills,319,14148
Coarsegold,1643,14288
Coffee Creek,186,14406
Cohasset,990,14442
Cold Springs (El Dorado County),675,14450
Cold Springs (Tuolumne County),108,14454
Coleville,515,14484
College City,239,14554
Coloma,673,14764
Comptche,83,15030
Coronita,3138,16420
Courtland,537,16714
Collierville,2642,14708
Cowan,570,16762
Cressey,356,17078
Creston,30,17232
Crowley Lake,889,17372
Crows Landing,278,17428
Cuyama,9,17727
Daphnedale Park,135,17995
Davenport,264,18086
Delft Colony,653,18450
Descanso,1644,18940
Desert Center,264,18982
Desert Edge,3343,18986
Desert Palms,6947,19022
Diablo Grande,841,19155
Dobbins,662,19416
Dogtown,2629,19440
Dos Palos Y,242,19654
Douglas City,668,19724
Downieville,114,19794
Talmage,921,77784
Home Garden,1643,34281
Guerneville,4808,31470
Manton,372,45512
Rancho Tehama Reserve,1922,59604
Durham,5863,20270
Armona,3795,02700
Buena Park,82781,08786
San Leandro,90103,68084
Bowles,194,07750
Huron,7019,36084
Sanger,24978,67056
Alhambra,84974,00884
Bradbury,916,07946
El Sobrante (Contra Costa County),13736,22454
Floriston,20,24526
Cleone,804,14008
Flournoy,171,24568
Forbestown,221,24750
Forest Ranch,538,24918
Fort Bidwell,181,25030
Fort Irwin,9086,25114
Fort Washington,783,25300
Franklin (Merced County),7314,25488
Franklin (Sacramento County),117,25506
Freeport,81,25590
French Valley,33818,26067
Fruitridge Pocket,6215,27130
Fuller Acres,841,27190
Fulton,566,28014
Garberville,1126,28154
Garden Farms,345,28210
Garey,160,29070
Garnet,5057,29112
Gasquet,620,29154
Tiburon,9151,78666
Prunedale,19584,58870
Grover Beach,13538,31393
Hornbrook,215,34694
Tennant,18,78176
Yuba City,66388,86972
Los Altos Hills,8517,43294
Monte Sereno,3492,48956
Saratoga,30886,70280
Sunnyvale,152323,77000
Cotati,7470,16560
Forestville,3685,24960
Graton,1877,30812
Occidental,833,53266
Corning,7535,16322
Gridley,6585,31260
Tehama,445,78106
Casa de Oro-Mount Helix,19635,11691
San Diego,1401932,66000
Bradley,107,07974
King City,13834,38520
Salinas,156550,64224
Fairfield,114101,23182
Alpine Village,155,01228
Kirkwood,76,38646
San Luis Obispo,47160,68154
Edgewood,40,21530
Gazelle,46,29252
Los Gatos,30922,44112
Loyola,3364,44378
Stanford,15668,73906
Alpine,15233,01192
Camp Pendleton North,7903,10559
Dorris,868,19584
Cambria,5725,10074
Pismo Beach,8116,57414
Tulelake,838,80686
Palo Alto,67019,55282
Shafter,18923,71106
Valley Acres,617,81722
Martinez,38117,46114
Mountain View,2066,49651
Pittsburg,70492,57456
Walnut Creek,69007,83346
