park_name,county,park_identifier,park_address,fire_authority,jurisdiction,mh_spaces,rv_lots_wdrains,rv_lots_wo_drains,operated_by,street_add,city,phone_num,state,zip
GARDEN TP,ALAMEDA,01-0027-MP,"21749 Garden Ave, Hayward, Ca 94541, (510) 481-9901","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",13.0,0.0,0.0,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578",21749 Garden Ave,Hayward, (510) 481-9901,CA,94541
GOLDEN STATE TP,ALAMEDA,01-0028-MP,"1511 150Th Ave, San Leandro, Ca 94578, (510) 333-1291","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",18.0,0.0,0.0,"KOON, CHUEN & LEUNG, AMY, 107 NORWICH RD, ALAMEDA, CA 94502",1511 150Th Ave,San Leandro, (510) 333-1291,CA,94578
HACIENDA TP,ALAMEDA,01-0029-MP,"3784 Castro Valley Blvd, Castro Valley, Ca 94546, (510) 481-0516","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",28.0,0.0,0.0,"STALEY, RONALD, 10633 DUBLIN CANYON RD, CASTRO VALLEY, CA 94552",3784 Castro Valley Blvd,Castro Valley, (510) 481-0516,CA,94546
HIDDEN TP,ALAMEDA,01-0030-MP,"651 West A St, Hayward, Ca 94541, (510) 481-0516","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",35.0,0.0,0.0,"BERNSTEIN, EVE, 4248 23RD ST, SAN FRANCISCO, CA 94114",651 West A St,Hayward, (510) 481-0516,CA,94541
HILLVIEW TRAILER CT,ALAMEDA,01-0031-MP,"1412 Portola, Livermore, Ca 94550, (925) 443-3555","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",14.0,0.0,0.0,"BIRELEY, JERRY & KATHLEEN, 449 ENCINO DR, LIVERMORE, CA 94550",1412 Portola,Livermore, (925) 443-3555,CA,94550
LONESOME DOVE MOBILE HOME PARK,ALAMEDA,01-0032-MP,"828 Olivina Ave, Livermore, Ca 94551, (408) 778-4456","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",17.0,0.0,0.0,"WAGAR, JIM, 16275 MONTEREY ST #O, MORGAN HILL, CA 95037",828 Olivina Ave,Livermore, (408) 778-4456,CA,94551
CRAWFORDS TP,ALAMEDA,01-0033-MP,"1525 105Th Ave, Oakland, Ca 94603, (510) 481-9901","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",13.0,0.0,0.0,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578",1525 105Th Ave,Oakland, (510) 481-9901,CA,94603
AZALEA MHP,ALAMEDA,01-0038-MP,"645 Bartlett Ave, Hayward, Ca 94541, (408) 314-5666","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",22.0,0.0,0.0,"HEIDARI, RAY, PO BOX 23863, SAN JOSE, CA 95153",645 Bartlett Ave,Hayward, (408) 314-5666,CA,94541
MAC ARTHUR\HIGH TP,ALAMEDA,01-0040-MP,"3521 High St, Oakland, Ca 94619, (510) 562-7009","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",26.0,0.0,0.0,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578",3521 High St,Oakland, (510) 562-7009,CA,94619
PARADISE TP,ALAMEDA,01-0044-MP,"16115 E 14Th St, San Leandro, Ca 94578, (925) 918-2416","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",66.0,0.0,0.0,"GARCIA, BARBARA, 16115 E 14TH ST OFFICE 1, SAN LEANDRO, CA 94578",16115 E 14Th St,San Leandro, (925) 918-2416,CA,94578
PINES TRAILER PARK,ALAMEDA,01-0047-MP,"1422 168Th Ave, San Leandro, Ca 94578, (510) 393-2129","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",29.0,0.0,0.0,"SEP GROUP, LLC, 142 N MILPITAS BLVD #321, MILPITAS, CA 95035",1422 168Th Ave,San Leandro, (510) 393-2129,CA,94578
SALEL'S MOBILEHOME PARK,ALAMEDA,01-0048-MP,"747 Lewelling Blvd, San Leandro, Ca 94579, (510) 351-8363","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",66.0,0.0,0.0,"SALEL ENTERPRISES, 871 38TH AVE, SANTA CRUZ, CA 95062",747 Lewelling Blvd,San Leandro, (510) 351-8363,CA,94579
SHADY HAVEN MHP,ALAMEDA,01-0052-MP,"19150 Hesperian Blvd, Hayward, Ca 94541, (510) 351-8363","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",20.0,0.0,0.0,"MCDONALD, DENNIS, PO BOX 196, MELVILLE, MT 59055",19150 Hesperian Blvd,Hayward, (510) 351-8363,CA,94541
KENS TP,ALAMEDA,01-0053-MP,"15959 E 14Th St, San Leandro, Ca 94578, (510) 351-8363","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",13.0,0.0,0.0,"KELLER, KENNETH & ADDIE, PO BOX 1149, SAN LEANDRO, CA 94578",15959 E 14Th St,San Leandro, (510) 351-8363,CA,94578
HESPERIAN TP,ALAMEDA,01-0054-MP,"15263 Hesperian Blvd, San Leandro, Ca 94578, (510) 481-9901","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",58.0,0.0,0.0,"WILLIAMS, KEN & WIN FRADY, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578",15263 Hesperian Blvd,San Leandro, (510) 481-9901,CA,94578
SLATERS TP,ALAMEDA,01-0055-MP,"1415 153Rd Ave, San Leandro, Ca 94578, (510) 481-9901","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",8.0,0.0,0.0,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578",1415 153Rd Ave,San Leandro, (510) 481-9901,CA,94578
TRA TEL TRAILER PARK,ALAMEDA,01-0058-MP,"3765 Castro Valley Blvd, Castro Valley, Ca 94546, (510) 548-7306","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",34.0,0.0,0.0,"COOPER, MICHAEL/SHEILA, PAUL DRESMICK 2937 FOREST AVE, BERKELEY, CA 94705",3765 Castro Valley Blvd,Castro Valley, (510) 548-7306,CA,94546
A ST TP,ALAMEDA,01-0060-MP,"280 West A St, Hayward, Ca 94541, (510) 785-9313","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",37.0,0.0,0.0,"JAMES M MARTIN CO INC, 11 CREST COURT, ALAMO, CA 94507",280 West A St,Hayward, (510) 785-9313,CA,94541
VAUGHNS TP,ALAMEDA,01-0062-MP,"3945 Castro Valley Blvd, Castro Valley, Ca 94546","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",25.0,0.0,0.0,"STALEY, RON, 10633 DUBLIN CYN RD, PLEASANTON, CA 94588",3945 Castro Valley Blvd,Castro Valley,,CA,94546
WAGON WHEEL MHP,ALAMEDA,01-0064-MP,"3875 Castro Valley Blvd, Castro Valley, Ca 94546, (501) 537-4493","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",53.0,0.0,0.0,"WAGON WHEEL MHP, LLC, PO BOX 20172, CASTRO VALLEY, CA 94546",3875 Castro Valley Blvd,Castro Valley, (501) 537-4493,CA,94546
WISHING WELL MHP,ALAMEDA,01-0065-MP,"3998 Castro Valley Blvd, Castro Valley, Ca 94546, (510) 537-5825","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",35.0,0.0,0.0,"ALIKIAN, SAMUEL, 16805 HALLMARK COURT, CASTRO VALLEY, CA 94552",3998 Castro Valley Blvd,Castro Valley, (510) 537-5825,CA,94546
FUCHSIA CT MHP,ALAMEDA,01-0066-MP,"20632 Fuchsia Ct, Hayward, Ca 94541, (510) 481-9901","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",16.0,0.0,0.0,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578",20632 Fuchsia Ct,Hayward, (510) 481-9901,CA,94541
COLONIAL ACRES,ALAMEDA,01-0067-MP,"17754 Meekland Ave, Hayward, Ca 94541, (510) 750-4494","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",23.0,0.0,0.0,"BUSK, BURTON, 17752 MEEKLAND, HAYWARD, CA 94541",17754 Meekland Ave,Hayward, (510) 750-4494,CA,94541
CHETWOOD CREST MHP,ALAMEDA,01-0068-MP,"3913 Castro Valley Blvd, Castro Valley, Ca 94546, (510) 538-7695","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",86.0,0.0,0.0,"RANDALL BERGER ENTERPRISES, 1000 MARINA VILLAGE PKY  STE. 130, ALAMEDA, CA 94501",3913 Castro Valley Blvd,Castro Valley, (510) 538-7695,CA,94546
544 E 14TH MP,ALAMEDA,01-0070-MP,"544 E 14Th St, Oakland, Ca 94606, (510) 465-7076","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",10.0,0.0,0.0,"544 EAST FOURTEEN ST LLC, 544 EAST 14TH ST SUITE # 1, OAKLAND, CA 94606",544 E 14Th St,Oakland, (510) 465-7076,CA,94606
SAN LEANDRO TP,ALAMEDA,01-0071-MP,"2470 Washington St, San Leandro, Ca 94577, (510) 614-5875","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",45.0,0.0,0.0,"DOUGHTY, ERIC/DIANNE, 9004 VILLAGE VIEW DR, SAN JOSE, CA 95140",2470 Washington St,San Leandro, (510) 614-5875,CA,94577
SAN LEANDRO MOBILE HOME AND RV PARK,ALAMEDA,01-0073-MP,"2399 E 14Th St, San Leandro, Ca 94577, (916) 419-1972","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",160.0,34.0,0.0,"SAN LEANDRO MOBILE HOME AND RV PARK, LP, 3511 DEL PASO RD, STE 160 ROOM # 240, SACRAMENTO, CA 95835",2399 E 14Th St,San Leandro, (916) 419-1972,CA,94577
SANDEV MOBILE PARK,ALAMEDA,01-0074-MP,"2100 Lewelling Blvd-Office, San Leandro, Ca 94579, (510) 352-1334","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",71.0,1.0,0.0,"JAMES NIELSEN & SANDRA NIELSEN T.I.C., 871 38TH AVE, SANTA CRUZ, CA 95062",2100 Lewelling Blvd-Office,San Leandro, (510) 352-1334,CA,94579
HAYWARD MOBILE COUNTRY CLUB,ALAMEDA,01-0075-MP,"1200 W Winton Ave, Hayward, Ca 94545, (510) 783-9500","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",238.0,0.0,0.0,"REB & JMB FAMILY PROPERTIES LLC, PO BOX 1666, SHINGLE SPRINGS, CA 95682",1200 W Winton Ave,Hayward, (510) 783-9500,CA,94545
CONTINENTAL MP,ALAMEDA,01-0076-MP,"28606 Huntwood Ave, Hayward, Ca 94544, (510) 783-0150","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",198.0,0.0,0.0,"CONTINENTAL HAYWARD, LLC, 28606 HUNTWOOD AVE, HAYWARD, CA 94544",28606 Huntwood Ave,Hayward, (510) 783-0150,CA,94544
CENTRAL PARK WEST,ALAMEDA,01-0077-MP,"2500 Parkside Dr, Union City, Ca 94587, (510) 783-0150","LOCAL FIRE AUTHORITY, XXXX, RIVERSIDE, CA 92501","UNION CITY COMM. DEV. DEPARTMENT, MOBILEHOME PARKS PRORAM, 34009 ALVARADO-NILES RD, UNION CITY, CA 94587",352.0,0.0,0.0,"WESTERN VENTURES INC, 2500 PARKSIDE DR, VINEBURG, CA 95487",2500 Parkside Dr,Union City, (510) 783-0150,CA,94587
SUN VALLEY MOBILE ESTATES,ALAMEDA,01-0078-MP,"835 E Airway Blvd, Livermore, Ca 94550, (925) 447-2220","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",159.0,0.0,0.0,"WATT, KENNETH, C/O CHARLES KINE MANAGEMENT 151 CALLAN AVE SUITE 213, SAN LEANDRO, CA 94577",835 E Airway Blvd,Livermore, (925) 447-2220,CA,94550
EDEN ROC MHP,ALAMEDA,01-0079-MP,"28362 Bradshire St, Hayward, Ca 94545, (510) 782-9721","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",200.0,0.0,0.0,"S G BORELLO & SONS INC, PO BOX 1106, MORGAN HILL, CA 95038",28362 Bradshire St,Hayward, (510) 782-9721,CA,94545
PUEBLO SPRINGS MHP,ALAMEDA,01-0080-MP,"27930 Pueblo Springs, Hayward, Ca 94545, (510) 786-2791","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",137.0,0.0,0.0,"PUEBLO SPRINGS MOBILE HOME PARK, LTD., C/O FRANCIS PROPERTY MANAGEMENT, INC 501 SO BEVERLY DR SUITE 100, BEVERLY HILLS, CA 90210",27930 Pueblo Springs,Hayward, (510) 786-2791,CA,94545
NILES CANYON MOBILE ESTATES,ALAMEDA,01-0081-MP,"711 Old Canyon Rd, Fremont, Ca 94536, (510) 792-7303","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",165.0,0.0,0.0,"CANYON, NILES C/O CAL-AM PROPERTIES INC, 385 CLINTON STREET, COSTA MESA, CA 92626",711 Old Canyon Rd,Fremont, (510) 792-7303,CA,94536
SOUTHLAKE MH ESTATES,ALAMEDA,01-0083-MP,"4343 Auto Mall Pkwy, Fremont, Ca 94538, (510) 651-0990","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",331.0,0.0,0.0,"SOUTHLAKE ESTATES C/O CAL-AM PROPERTIES INC, 385 CLINTON ST, COSTA MESA, CA 92626",4343 Auto Mall Pkwy,Fremont, (510) 651-0990,CA,94538
TROPICS MH COMMUNITY,ALAMEDA,01-0084-MP,"33000 Alamden Blvd, Union City, Ca 94587, (510) 471-8550","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","UNION CITY COMM. DEV. DEPARTMENT, MOBILEHOME PARKS PRORAM, 34009 ALVARADO-NILES RD, UNION CITY, CA 94587",544.0,0.0,0.0,"BESSIRE & CASENHISER INC, 661 BREA CANYON RD SUITE # 7, WALNUT, CA 91789",33000 Alamden Blvd,Union City, (510) 471-8550,CA,94587
MISSION BAY MH COMMUNITY,ALAMEDA,01-0085-MP,"15333 Wicks Blvd, San Leandro, Ca 94579, (510) 352-4433","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",366.0,0.0,0.0,"BRANDENBURG & STAEDLER, 1122 WILLOW ST SUITE # 200, SAN JOSE, CA 95113",15333 Wicks Blvd,San Leandro, (510) 352-4433,CA,94579
EDEN GARDENS ESTATES,ALAMEDA,01-0086-MP,"1150 W Winton Ave, Hayward, Ca 94545, (510) 783-4433","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",129.0,0.0,0.0,"EDEN GARDENS MHP, LLC, 770 TAMALPAIS DR SUITE # 401B, CORTE MADERA, CA 94925",1150 W Winton Ave,Hayward, (510) 783-4433,CA,94545
HACIENDA MHP,ALAMEDA,01-0087-MP,"3231 Vineyard Ave, Pleasanton, Ca 94566, (925) 846-1527","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",149.0,0.0,0.0,"HOON, PHILIP, 5 BON AIR RD STE 225, LARKSPUR, CA 94939",3231 Vineyard Ave,Pleasanton, (925) 846-1527,CA,94566
VINEYARD ESTATES,ALAMEDA,01-0088-MP,"3263 Vineyard Ave, Pleasanton, Ca 94566, (925) 846-5336","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",208.0,0.0,0.0,"GUGGENHEIM, DANIEL, C/O BESSIRE & CASENHISER INC 430 S SAN DIMAS AVE, SAN DIMAS, CA 91773",3263 Vineyard Ave,Pleasanton, (925) 846-5336,CA,94566
